Rondo Mogilskie;5:52:18
Cystersów;5:54:47
;
05:35 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;5:35:1
Rondo Mogilskie;5:37:19
Lubicz;5:40:6
Dworzec Główny;5:42:12
Poczta Główna;5:45:34
Starowiślna;5:47:28
Stradom;5:51:18
Orzeszkowej;5:53:42
Centrum Kongresowe ICE;5:55:41
;
05:40 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:40:1
Stradom;5:41:14
Wawel;5:43:26
Świętej Gertrudy;5:45:7
Plac Wszystkich Świętych;5:46:55
Filharmonia;5:48:7
Teatr Bagatela;5:50:47
Batorego;5:52:53
Plac Inwalidów;5:54:1
Urzędnicza;5:55:59
;
05:38 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;5:38:1
Stradom;5:39:13
Wawel;5:41:52
Poczta Główna;5:44:26
Dworzec Główny;5:48:20
Lubicz;5:50:23
Rondo Mogilskie;5:53:32
Cystersów;5:56:3
;
05:36 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;5:36:2
Nowy Kleparz;5:37:10
Pędzichów;5:38:52
Basztowa LOT;5:40:9
Teatr Bagatela;5:42:32
Filharmonia;5:44:57
Plac Wszystkich Świętych;5:46:38
Świętej Gertrudy;5:48:50
Wawel;5:50:28
Stradom;5:51:35
Orzeszkowej;5:54:32
Centrum Kongresowe ICE;5:56:32
;
05:35 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;5:35:1
Miodowa;5:36:7
Starowiślna;5:41:13
Hala Targowa;5:42:14
Rondo Grzegórzeckie;5:46:24
Rondo Mogilskie;5:50:12
Dworzec Główny Tunel;5:53:2
Politechnika;5:54:31
Dworzec Towarowy;5:57:16
;
05:40 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;5:40:1
Plac Inwalidów;5:41:56
Batorego;5:43:14
Teatr Bagatela;5:44:51
Basztowa LOT;5:47:18
Dworzec Główny;5:49:29
Lubicz;5:51:37
Rondo Mogilskie;5:54:48
Cystersów;5:57:19
;
05:39 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;5:39:1
Teatr Variete;5:40:23
Rondo Grzegórzeckie;5:42:27
Hala Targowa;5:44:42
Starowiślna;5:47:40
Stradom;5:53:17
Orzeszkowej;5:55:55
Centrum Kongresowe ICE;5:57:57
;
05:45 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;5:45:1
Orzeszkowej;5:46:52
Stradom;5:47:54
Starowiślna;5:51:30
Hala Targowa;5:52:32
Rondo Grzegórzeckie;5:55:56
Teatr Variete;5:56:46
;
05:44 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;5:44:1
Rondo Mogilskie;5:47:9
Rondo Grzegórzeckie;5:52:13
Hala Targowa;5:54:27
Starowiślna;5:55:33
Miodowa;5:57:45
Świętego Wawrzyńca;5:59:3
;
05:42 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;5:42:1
Miodowa;5:43:6
Starowiślna;5:45:37
Hala Targowa;5:46:38
Rondo Grzegórzeckie;5:53:19
Rondo Mogilskie;5:56:54
;
05:51 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;5:51:1
Politechnika;5:53:45
Dworzec Główny Zachód;5:55:2
Dworzec Główny;5:56:10
;
05:42 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;5:42:21
Plac Inwalidów;5:44:14
Batorego;5:45:33
Teatr Bagatela;5:47:7
Filharmonia;5:50:5
Plac Wszystkich Świętych;5:51:49
Świętej Gertrudy;5:53:22
Wawel;5:55:1
Stradom;5:56:9
Plac Wolnica;5:59:42
;
05:40 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;5:40:1
Orzeszkowej;5:41:55
Stradom;5:42:57
Wawel;5:45:23
Świętej Gertrudy;5:46:58
Plac Wszystkich Świętych;5:48:23
Filharmonia;5:49:39
Teatr Bagatela;5:52:0
Basztowa LOT;5:54:43
Pędzichów;5:57:20
Nowy Kleparz;5:59:2
Dworzec Towarowy;6:1:2
;
05:44 - 10 (Pleszów - Kurdwanów);
Cystersów;5:44:35
Rondo Mogilskie;5:47:35
Lubicz;5:49:55
Dworzec Główny;5:51:59
Poczta Główna;5:54:34
Świętej Gertrudy;5:56:45
Wawel;5:58:24
Stradom;5:59:31
;
05:43 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;5:43:1
Politechnika;5:46:35
Dworzec Główny Tunel;5:48:5
Rondo Mogilskie;5:51:41
Rondo Grzegórzeckie;5:55:28
Hala Targowa;5:57:46
Starowiślna;5:58:48
Miodowa;6:0:58
Miodowa;6:2:17
;
05:53 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;5:53:13
Dworzec Główny;5:55:42
Dworzec Główny Zachód;5:58:26
Politechnika;5:59:50
Dworzec Towarowy;6:2:19
;
05:43 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;5:43:1
Miodowa;5:44:6
Starowiślna;5:48:55
Poczta Główna;5:49:57
Dworzec Główny;5:52:25
Basztowa LOT;5:54:44
Teatr Bagatela;5:57:26
Batorego;5:59:31
Plac Inwalidów;6:0:39
;
05:47 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;5:47:1
Teatr Variete;5:48:24
Rondo Grzegórzeckie;5:50:56
Hala Targowa;5:53:11
Starowiślna;5:54:14
Poczta Główna;5:56:30
Plac Wszystkich Świętych;5:59:14
Filharmonia;6:0:50
Jubilat;6:3:6
;
05:48 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:48:1
Stradom;5:49:13
Wawel;5:51:51
