08:24 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;8:24:1
Dworzec Główny;8:26:9
Dworzec Główny Zachód;8:27:53
Politechnika;8:29:7
Dworzec Towarowy;8:31:18
;
08:15 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;8:15:2
Teatr Variete;8:16:16
Rondo Grzegórzeckie;8:17:45
Rondo Mogilskie;8:19:56
Lubicz;8:22:0
Dworzec Główny;8:23:40
Basztowa LOT;8:25:24
Teatr Bagatela;8:27:34
Batorego;8:29:21
Plac Inwalidów;8:30:21
Urzędnicza;8:31:55
;
08:18 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;8:18:1
Plac Inwalidów;8:19:39
Batorego;8:20:47
Teatr Bagatela;8:22:14
Filharmonia;8:24:33
Plac Wszystkich Świętych;8:26:25
Świętej Gertrudy;8:28:14
Wawel;8:29:41
Stradom;8:30:39
Plac Wolnica;8:32:58
;
08:18 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;8:18:1
Rondo Mogilskie;8:20:0
Lubicz;8:22:32
Dworzec Główny;8:24:21
Poczta Główna;8:26:40
Starowiślna;8:28:23
Stradom;8:30:21
Orzeszkowej;8:31:49
Centrum Kongresowe ICE;8:33:31
;
08:20 - 10 (Pleszów - Kurdwanów);
Cystersów;8:20:1
Rondo Mogilskie;8:22:1
Lubicz;8:24:12
Dworzec Główny;8:25:56
Poczta Główna;8:28:3
Świętej Gertrudy;8:29:41
Wawel;8:31:6
Stradom;8:32:24
;
08:21 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;8:21:1
Stradom;8:22:8
Wawel;8:23:58
Świętej Gertrudy;8:25:21
Plac Wszystkich Świętych;8:26:34
Filharmonia;8:27:41
Teatr Bagatela;8:29:50
Batorego;8:31:36
Plac Inwalidów;8:32:36
Urzędnicza;8:34:13
;
08:17 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;8:17:1
Nowy Kleparz;8:18:2
Pędzichów;8:19:31
Basztowa LOT;8:20:39
Teatr Bagatela;8:22:37
Filharmonia;8:25:35
Plac Wszystkich Świętych;8:27:5
Świętej Gertrudy;8:29:10
Wawel;8:30:34
Orzeszkowej;8:33:2
Centrum Kongresowe ICE;8:34:40
;
08:18 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;8:18:1
Orzeszkowej;8:19:39
Stradom;8:20:35
Wawel;8:22:8
Świętej Gertrudy;8:23:33
Plac Wszystkich Świętych;8:24:45
Filharmonia;8:25:48
Teatr Bagatela;8:28:17
Basztowa LOT;8:30:23
Pędzichów;8:31:54
Nowy Kleparz;8:33:21
Dworzec Towarowy;8:35:3
;
08:22 - 24 (Bronowice - Kurdwanów);
Urzędnicza;8:22:1
Plac Inwalidów;8:23:40
Batorego;8:24:48
Teatr Bagatela;8:26:11
Basztowa LOT;8:28:8
Dworzec Główny;8:29:49
Poczta Główna;8:32:29
Starowiślna;8:33:59
Miodowa;8:35:39
;
08:19 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;8:19:1
Miodowa;8:20:0
Starowiślna;8:22:20
Hala Targowa;8:23:17
Rondo Grzegórzeckie;8:30:39
Rondo Mogilskie;8:33:50
;
08:21 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;8:21:1
Orzeszkowej;8:22:41
Stradom;8:23:38
Starowiślna;8:26:48
Poczta Główna;8:27:44
Dworzec Główny;8:29:48
Lubicz;8:31:41
Rondo Mogilskie;8:34:18
Cystersów;8:36:24
;
08:21 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;8:21:1
Filharmonia;8:22:48
Plac Wszystkich Świętych;8:24:13
Poczta Główna;8:25:40
Starowiślna;8:28:21
Hala Targowa;8:29:17
Rondo Grzegórzeckie;8:35:23
Teatr Variete;8:36:7
;
08:23 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;8:23:1
Rondo Mogilskie;8:25:1
Lubicz;8:27:8
Dworzec Główny;8:28:53
Basztowa LOT;8:30:38
Teatr Bagatela;8:32:41
Batorego;8:34:32
Plac Inwalidów;8:35:33
Urzędnicza;8:37:11
;
08:23 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;8:23:1
Plac Inwalidów;8:24:40
Batorego;8:25:47
Teatr Bagatela;8:27:11
Filharmonia;8:29:39
Plac Wszystkich Świętych;8:31:39
Świętej Gertrudy;8:33:7
Wawel;8:34:33
Stradom;8:35:32
Plac Wolnica;8:37:14
;
08:23 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;8:23:1
Stradom;8:24:8
Wawel;8:26:10
Poczta Główna;8:28:38
Dworzec Główny;8:30:39
Lubicz;8:32:31
Rondo Mogilskie;8:35:7
Cystersów;8:37:16
;
08:27 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;8:27:1
Dworzec Główny;8:29:27
Basztowa LOT;8:31:17
Teatr Bagatela;8:33:22
Filharmonia;8:35:48
;
08:31 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:31:1
Politechnika;8:33:32
Dworzec Główny Zachód;8:34:39
Dworzec Główny;8:35:40
Poczta Główna;8:38:2
;
08:23 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;8:23:1
Teatr Variete;8:24:17
Rondo Grzegórzeckie;8:29:55
Hala Targowa;8:31:51
Starowiślna;8:32:46
Stradom;8:35:2
Orzeszkowej;8:36:19
;
08:20 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;8:20:1
Plac Inwalidów;8:21:40
Batorego;8:22:49
Teatr Bagatela;8:24:15
Basztowa LOT;8:26:9
Dworzec Główny;8:27:49
Lubicz;8:29:35
Rondo Mogilskie;8:32:11
Rondo Grzegórzeckie;8:36:28
Teatr Variete;8:37:11
;
08:25 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;8:25:1
Stradom;8:26:4
Wawel;8:27:53
Świętej Gertrudy;8:29:19
Plac Wszystkich Świętych;8:30:34
Filharmonia;8:31:41
Teatr Bagatela;8:33:47
Batorego;8:35:33
Plac Inwalidów;8:36:35
Urzędnicza;8:38:15
;
08:31 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;8:31:1
Dworzec Główny;8:33:11
Dworzec Główny Zachód;8:34:52
Politechnika;8:36:5
Dworzec Towarowy;8:38:18
;
08:26 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;8:26:1
Plac Inwalidów;8:27:39
Batorego;8:28:49
Teatr Bagatela;8:30:13
Filharmonia;8:32:38
Plac Wszystkich Świętych;8:34:8
Świętej Gertrudy;8:35:35
Wawel;8:37:1
Stradom;8:38:2
Plac Wolnica;8:39:39
;
08:28 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;8:28:1
Rondo Mogilskie;8:30:50
Rondo Grzegórzeckie;8:35:0
Hala Targowa;8:36:55
Starowiślna;8:37:54
Miodowa;8:39:46
;
08:34 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;8:34:2
Rondo Mogilskie;8:36:49
Rondo Grzegórzeckie;8:39:56
;
08:25 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;8:25:1
Nowy Kleparz;8:26:2
Pędzichów;8:27:32
Basztowa LOT;8:28:40
Teatr Bagatela;8:30:36
Filharmonia;8:33:17
Plac Wszystkich Świętych;8:34:52
Świętej Gertrudy;8:36:13
Wawel;8:37:41
Stradom;8:38:43
Orzeszkowej;8:39:47
Centrum Kongresowe ICE;8:41:25
;
08:20 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;8:20:1
Miodowa;8:20:59
Starowiślna;8:23:41
Hala Targowa;8:24:36
Rondo Grzegórzeckie;8:32:48
Rondo Mogilskie;8:35:34
Dworzec Główny Tunel;8:37:55
Politechnika;8:39:11
Dworzec Towarowy;8:41:32
;
08:32 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;8:32:1
Filharmonia;8:33:44
Teatr Bagatela;8:36:4
Basztowa LOT;8:38:22
Dworzec Główny;8:39:58
Lubicz;8:41:33
;
08:29 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;8:29:1
Stradom;8:30:6
Wawel;8:31:57
Świętej Gertrudy;8:33:19
Plac Wszystkich Świętych;8:34:34
Filharmonia;8:35:40
Teatr Bagatela;8:37:49
Batorego;8:39:35
Plac Inwalidów;8:40:36
Urzędnicza;8:42:12
;
08:26 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;8:26:1
Rondo Mogilskie;8:27:59
Lubicz;8:30:10
Dworzec Główny;8:31:54
Poczta Główna;8:33:59
Starowiślna;8:35:30
Stradom;8:38:33
Orzeszkowej;8:40:34
Centrum Kongresowe ICE;8:42:16
;
08:27 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;8:27:1
Teatr Variete;8:28:16
Rondo Grzegórzeckie;8:31:59
Hala Targowa;8:33:52
Starowiślna;8:34:49
Poczta Główna;8:37:27
Plac Wszystkich Świętych;8:39:16
Filharmonia;8:40:20
Jubilat;8:42:19
;
08:25 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;8:25:1
Orzeszkowej;8:26:36
Stradom;8:27:34
Wawel;8:29:5
Świętej Gertrudy;8:30:30
Plac Wszystkich Świętych;8:31:44
Filharmonia;8:32:47
Teatr Bagatela;8:35:21
Basztowa LOT;8:37:45
Pędzichów;8:39:16
Nowy Kleparz;8:40:42
Dworzec Towarowy;8:42:24
;
08:28 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;8:28:1
Miodowa;8:29:0
Starowiślna;8:31:10
Poczta Główna;8:32:6
Dworzec Główny;8:34:7
Basztowa LOT;8:35:49
Teatr Bagatela;8:38:9
Batorego;8:40:10
Plac Inwalidów;8:41:10
Urzędnicza;8:42:52
;
08:28 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;8:28:1
Politechnika;8:31:3
Dworzec Główny Tunel;8:32:24
Rondo Mogilskie;8:35:45
Rondo Grzegórzeckie;8:38:48
Hala Targowa;8:40:41
Starowiślna;8:41:38
Miodowa;8:43:26
;
08:30 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;8:30:1
Plac Inwalidów;8:31:40
Batorego;8:32:47
Teatr Bagatela;8:34:11
Filharmonia;8:36:40
Plac Wszystkich Świętych;8:38:12
Świętej Gertrudy;8:39:37
Wawel;8:41:2
Stradom;8:42:1
Plac Wolnica;8:43:41
;
08:28 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;8:28:1
Orzeszkowej;8:29:40
Stradom;8:30:36
Starowiślna;8:34:26
Poczta Główna;8:35:21
Dworzec Główny;8:37:26
Lubicz;8:39:6
Rondo Mogilskie;8:41:40
Cystersów;8:43:49
;
08:38 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:38:1
Politechnika;8:40:34
Dworzec Główny Zachód;8:41:42
Dworzec Główny;8:42:44
Poczta Główna;8:45:20
;
08:31 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;8:31:1
Plac Inwalidów;8:32:39
Batorego;8:33:47
Teatr Bagatela;8:35:12
Basztowa LOT;8:37:8
Dworzec Główny;8:38:53
Lubicz;8:40:35
Rondo Mogilskie;8:43:16
;
08:30 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;8:30:1
Orzeszkowej;8:31:40
Stradom;8:32:35
Starowiślna;8:36:13
Hala Targowa;8:37:9
Rondo Grzegórzeckie;8:44:1
Teatr Variete;8:44:44
;
08:28 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;8:28:1
Filharmonia;8:29:47
Plac Wszystkich Świętych;8:31:11
Poczta Główna;8:32:40
Starowiślna;8:35:42
Hala Targowa;8:36:38
Rondo Grzegórzeckie;8:44:28
Teatr Variete;8:45:12
;
08:33 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;8:33:1
Stradom;8:34:5
Wawel;8:35:54
Świętej Gertrudy;8:37:21
Plac Wszystkich Świętych;8:38:39
Filharmonia;8:39:43
Teatr Bagatela;8:41:50
Batorego;8:43:38
Plac Inwalidów;8:44:39
Urzędnicza;8:46:16
;
08:34 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;8:34:2
Teatr Variete;8:35:16
Rondo Grzegórzeckie;8:37:19
Hala Targowa;8:39:16
Starowiślna;8:40:12
Poczta Główna;8:41:51
Plac Wszystkich Świętych;8:43:44
Filharmonia;8:44:48
Jubilat;8:46:32
;
08:39 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;8:39:1
Dworzec Główny;8:41:9
Dworzec Główny Zachód;8:43:11
Politechnika;8:44:24
Dworzec Towarowy;8:46:34
;
08:33 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;8:33:1
Plac Inwalidów;8:34:38
Batorego;8:35:47
Teatr Bagatela;8:37:12
Filharmonia;8:39:33
Plac Wszystkich Świętych;8:41:26
Świętej Gertrudy;8:42:57
Wawel;8:44:23
Stradom;8:45:20
Plac Wolnica;8:47:44
;
08:33 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;8:33:1
Rondo Mogilskie;8:34:59
Lubicz;8:37:8
Dworzec Główny;8:38:56
Poczta Główna;8:41:20
Stradom;8:45:11
Orzeszkowej;8:46:29
;
08:30 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;8:30:1
Teatr Variete;8:31:16
Rondo Grzegórzeckie;8:33:43
Rondo Mogilskie;8:35:55
Lubicz;8:38:24
Dworzec Główny;8:40:3
Basztowa LOT;8:42:3
Teatr Bagatela;8:44:17
Batorego;8:45:55
Plac Inwalidów;8:46:55
Urzędnicza;8:48:29
;
08:35 - 10 (Pleszów - Kurdwanów);
Cystersów;8:35:1
Rondo Mogilskie;8:36:59
Lubicz;8:39:13
Dworzec Główny;8:41:10
Poczta Główna;8:43:20
Świętej Gertrudy;8:44:46
Wawel;8:46:11
Stradom;8:47:33
;
08:36 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;8:36:1
Stradom;8:37:4
Wawel;8:38:59
Świętej Gertrudy;8:40:23
Plac Wszystkich Świętych;8:41:38
Filharmonia;8:42:45
Teatr Bagatela;8:44:52
Batorego;8:46:39
Plac Inwalidów;8:47:38
Urzędnicza;8:49:16
;
08:32 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;8:32:1
Nowy Kleparz;8:33:2
Pędzichów;8:34:31
Basztowa LOT;8:35:38
Teatr Bagatela;8:37:36
Filharmonia;8:40:35
Plac Wszystkich Świętych;8:42:18
Świętej Gertrudy;8:44:7
Wawel;8:45:30
Orzeszkowej;8:48:11
Centrum Kongresowe ICE;8:49:50
;
08:37 - 24 (Bronowice - Kurdwanów);
Urzędnicza;8:37:1
Plac Inwalidów;8:38:45
Batorego;8:39:53
Teatr Bagatela;8:41:15
Basztowa LOT;8:43:15
Dworzec Główny;8:44:54
Poczta Główna;8:47:2
Starowiślna;8:48:52
Miodowa;8:50:34
;
08:33 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;8:33:1
Orzeszkowej;8:34:38
Stradom;8:35:34
Wawel;8:37:36
Świętej Gertrudy;8:39:3
Plac Wszystkich Świętych;8:40:26
Filharmonia;8:41:29
Teatr Bagatela;8:43:54
Basztowa LOT;8:45:57
Pędzichów;8:47:28
Nowy Kleparz;8:48:55
Dworzec Towarowy;8:50:37
;
08:36 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;8:36:1
Filharmonia;8:37:47
Plac Wszystkich Świętych;8:39:13
Poczta Główna;8:40:42
Starowiślna;8:43:27
Hala Targowa;8:44:22
Rondo Grzegórzeckie;8:49:17
Teatr Variete;8:50:1
Francesco Nullo;8:50:59
;
08:34 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;8:34:2
Miodowa;8:35:0
Starowiślna;8:37:53
Hala Targowa;8:38:52
Rondo Grzegórzeckie;8:46:5
Rondo Mogilskie;8:49:10
;
08:36 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;8:36:1
Orzeszkowej;8:37:40
Stradom;8:38:40
Starowiślna;8:42:3
Poczta Główna;8:43:1
Dworzec Główny;8:45:2
Lubicz;8:47:5
Rondo Mogilskie;8:49:40
Cystersów;8:51:48
;
08:42 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;8:42:1
Dworzec Główny;8:43:50
Basztowa LOT;8:45:33
Teatr Bagatela;8:48:4
Filharmonia;8:50:29
;
08:38 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;8:38:1
Stradom;8:39:8
Wawel;8:41:17
Poczta Główna;8:43:40
Dworzec Główny;8:45:57
Lubicz;8:47:45
Rondo Mogilskie;8:50:24
;
08:46 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:46:1
Politechnika;8:48:33
Dworzec Główny Zachód;8:49:40
Dworzec Główny;8:50:41
Poczta Główna;8:53:1
;
08:38 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;8:38:1
Plac Inwalidów;8:39:41
Batorego;8:40:49
Teatr Bagatela;8:42:14
Filharmonia;8:44:40
Plac Wszystkich Świętych;8:47:3
Świętej Gertrudy;8:48:33
Wawel;8:49:59
Stradom;8:50:58
Plac Wolnica;8:53:5
;
08:40 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;8:40:1
Stradom;8:41:3
Wawel;8:42:56
Świętej Gertrudy;8:44:20
Plac Wszystkich Świętych;8:45:34
Filharmonia;8:46:42
Teatr Bagatela;8:48:48
Batorego;8:50:38
Plac Inwalidów;8:51:39
Urzędnicza;8:53:16
;
08:38 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;8:38:1
Teatr Variete;8:39:17
Rondo Grzegórzeckie;8:45:17
Hala Targowa;8:47:14
Starowiślna;8:48:9
Stradom;8:50:25
Orzeszkowej;8:51:43
;
08:38 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;8:38:1
Rondo Mogilskie;8:40:3
Lubicz;8:42:10
Dworzec Główny;8:44:24
Basztowa LOT;8:46:9
Teatr Bagatela;8:48:39
Batorego;8:51:3
Plac Inwalidów;8:52:8
Urzędnicza;8:53:44
;
08:35 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;8:35:1
Plac Inwalidów;8:36:39
Batorego;8:37:49
Teatr Bagatela;8:39:16
Basztowa LOT;8:41:11
Dworzec Główny;8:42:55
Lubicz;8:44:38
Rondo Mogilskie;8:47:14
Rondo Grzegórzeckie;8:52:12
Teatr Variete;8:52:55
;
08:41 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;8:41:1
Plac Inwalidów;8:42:42
Batorego;8:43:52
Teatr Bagatela;8:45:13
Filharmonia;8:47:40
Plac Wszystkich Świętych;8:49:11
Świętej Gertrudy;8:50:39
Wawel;8:52:5
Stradom;8:53:3
Plac Wolnica;8:54:42
;
08:47 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;8:47:27
Dworzec Główny;8:49:47
Dworzec Główny Zachód;8:51:24
Politechnika;8:52:37
Dworzec Towarowy;8:54:48
;
08:49 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;8:49:1
Rondo Mogilskie;8:51:41
;
08:43 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;8:43:1
Rondo Mogilskie;8:45:48
Rondo Grzegórzeckie;8:51:6
Hala Targowa;8:53:1
Starowiślna;8:54:1
Miodowa;8:55:47
;
08:47 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;8:47:1
Filharmonia;8:48:45
Teatr Bagatela;8:51:7
Basztowa LOT;8:53:19
Dworzec Główny;8:54:57
Lubicz;8:56:33
;
08:35 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;8:35:1
Miodowa;8:36:0
Starowiślna;8:38:37
Hala Targowa;8:39:30
Rondo Grzegórzeckie;8:48:4
Rondo Mogilskie;8:50:50
Dworzec Główny Tunel;8:53:11
Politechnika;8:54:28
Dworzec Towarowy;8:56:46
;
08:40 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;8:40:1
Nowy Kleparz;8:41:1
Pędzichów;8:42:34
Basztowa LOT;8:43:42
Teatr Bagatela;8:45:36
Filharmonia;8:48:20
Plac Wszystkich Świętych;8:49:55
Świętej Gertrudy;8:51:16
Wawel;8:52:41
Orzeszkowej;8:55:12
Centrum Kongresowe ICE;8:56:53
;
08:43 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;8:43:1
Filharmonia;8:44:45
Plac Wszystkich Świętych;8:46:37
Poczta Główna;8:48:5
Starowiślna;8:51:6
Hala Targowa;8:52:1
Rondo Grzegórzeckie;8:55:30
Teatr Variete;8:56:13
;
08:40 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;8:40:1
Orzeszkowej;8:41:38
Stradom;8:42:36
Wawel;8:44:7
Świętej Gertrudy;8:45:30
Plac Wszystkich Świętych;8:46:45
Filharmonia;8:47:48
Teatr Bagatela;8:50:23
Basztowa LOT;8:52:45
Pędzichów;8:54:19
Nowy Kleparz;8:55:44
Dworzec Towarowy;8:57:26
;
08:44 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;8:44:1
Stradom;8:45:3
Wawel;8:47:14
Świętej Gertrudy;8:48:38
Plac Wszystkich Świętych;8:49:53
Filharmonia;8:50:58
Teatr Bagatela;8:53:7
Batorego;8:54:54
Plac Inwalidów;8:55:54
Urzędnicza;8:57:32
;
08:41 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;8:41:1
Rondo Mogilskie;8:43:3
Lubicz;8:45:10
Dworzec Główny;8:46:56
Poczta Główna;8:49:1
Starowiślna;8:50:50
Stradom;8:54:4
Orzeszkowej;8:56:3
Centrum Kongresowe ICE;8:57:47
;
08:45 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;8:45:1
Orzeszkowej;8:46:42
Stradom;8:47:36
Starowiślna;8:51:46
Hala Targowa;8:52:43
Rondo Grzegórzeckie;8:56:8
Teatr Variete;8:56:52
Francesco Nullo;8:57:54
;
08:42 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;8:42:1
Teatr Variete;8:43:17
Rondo Grzegórzeckie;8:47:24
Hala Targowa;8:49:20
Starowiślna;8:50:15
Poczta Główna;8:52:56
Plac Wszystkich Świętych;8:54:54
Filharmonia;8:55:56
Jubilat;8:57:59
;
08:43 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;8:43:1
Miodowa;8:44:0
Starowiślna;8:46:7
Poczta Główna;8:47:4
Dworzec Główny;8:49:5
Basztowa LOT;8:50:48
Teatr Bagatela;8:53:8
Batorego;8:55:18
Plac Inwalidów;8:56:22
Urzędnicza;8:58:4
;
08:44 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;8:44:1
Plac Inwalidów;8:45:37
Batorego;8:46:48
Teatr Bagatela;8:48:10
Filharmonia;8:51:4
Plac Wszystkich Świętych;8:52:45
Świętej Gertrudy;8:54:8
Wawel;8:55:32
Stradom;8:56:30
Plac Wolnica;8:58:35
;
08:43 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;8:43:1
Politechnika;8:46:1
Dworzec Główny Tunel;8:47:22
Rondo Mogilskie;8:50:55
Rondo Grzegórzeckie;8:54:4
Hala Targowa;8:55:57
Starowiślna;8:56:54
Miodowa;8:59:2
;
08:43 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;8:43:1
Orzeszkowej;8:44:38
Stradom;8:45:34
Starowiślna;8:50:36
Poczta Główna;8:51:32
Dworzec Główny;8:53:36
Lubicz;8:55:15
Rondo Mogilskie;8:57:51
Cystersów;8:59:58
;
08:53 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:53:2
Politechnika;8:55:35
Dworzec Główny Zachód;8:56:42
Dworzec Główny;8:57:45
Poczta Główna;9:0:22
;
08:46 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;8:46:1
Plac Inwalidów;8:47:39
Batorego;8:48:48
Teatr Bagatela;8:50:12
Basztowa LOT;8:52:9
Dworzec Główny;8:53:52
Lubicz;8:55:48
Rondo Mogilskie;8:58:31
;
08:54 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;8:54:1
Dworzec Główny;8:56:10
Dworzec Główny Zachód;8:57:55
Politechnika;8:59:9
Dworzec Towarowy;9:1:16
;
08:48 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;8:48:1
Stradom;8:49:5
Wawel;8:50:55
Świętej Gertrudy;8:52:20
Plac Wszystkich Świętych;8:53:37
Filharmonia;8:54:43
Teatr Bagatela;8:56:50
Batorego;8:58:41
Plac Inwalidów;8:59:41
Urzędnicza;9:1:17
;
08:49 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;8:49:1
Miodowa;8:50:0
Starowiślna;8:53:25
Hala Targowa;8:54:21
Rondo Grzegórzeckie;8:57:33
Rondo Mogilskie;9:0:33
;
08:48 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;8:48:1
Plac Inwalidów;8:49:39
Batorego;8:50:48
Teatr Bagatela;8:52:12
Filharmonia;8:54:33
Plac Wszystkich Świętych;8:56:26
Świętej Gertrudy;8:57:58
Wawel;8:59:25
Stradom;9:0:23
Plac Wolnica;9:2:47
;
08:49 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;8:49:1
Teatr Variete;8:50:15
Rondo Grzegórzeckie;8:53:2
Hala Targowa;8:55:0
Starowiślna;8:55:55
Poczta Główna;8:58:12
Plac Wszystkich Świętych;9:0:1
Filharmonia;9:1:5
Jubilat;9:2:49
;
08:48 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;8:48:1
Rondo Mogilskie;8:50:0
Lubicz;8:52:15
Dworzec Główny;8:54:2
Poczta Główna;8:56:29
Starowiślna;8:58:2
Stradom;9:0:15
Orzeszkowej;9:1:31
;
08:51 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;8:51:1
Filharmonia;8:52:46
Plac Wszystkich Świętych;8:54:12
Poczta Główna;8:55:41
Starowiślna;8:57:55
Hala Targowa;8:58:51
Rondo Grzegórzeckie;9:1:54
Teatr Variete;9:2:37
;
08:45 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;8:45:1
Teatr Variete;8:46:17
Rondo Grzegórzeckie;8:49:49
Rondo Mogilskie;8:52:2
Lubicz;8:54:0
Dworzec Główny;8:55:41
Basztowa LOT;8:57:34
Teatr Bagatela;8:59:45
Batorego;9:1:24
Plac Inwalidów;9:2:23
Urzędnicza;9:3:57
;
08:47 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;8:47:1
Nowy Kleparz;8:48:2
Pędzichów;8:49:32
Basztowa LOT;8:50:40
Teatr Bagatela;8:52:36
Filharmonia;8:55:36
Plac Wszystkich Świętych;8:57:7
Świętej Gertrudy;8:58:46
Wawel;9:0:10
Orzeszkowej;9:3:14
Centrum Kongresowe ICE;9:4:53
;
08:50 - 10 (Pleszów - Kurdwanów);
Cystersów;8:50:1
Rondo Mogilskie;8:52:0
Lubicz;8:54:32
Dworzec Główny;8:56:20
Poczta Główna;8:58:59
Świętej Gertrudy;9:0:18
Wawel;9:1:43
Stradom;9:2:43
Plac Wolnica;9:5:8
;
